# index,lng,lat,time
8.200000000000000000e+01,1.139966709596109951e+02,2.260628855727389919e+01,7.358163265306122867e+02
8.300000000000000000e+01,1.139964942570090045e+02,2.260636632040520055e+01,7.397142857142856656e+02
8.400000000000000000e+01,1.139962868485930017e+02,2.260645380274580063e+01,7.628041237113402531e+02
8.500000000000000000e+01,1.139960097135270018e+02,2.260653885710490130e+01,7.493039647577091955e+02
8.600000000000000000e+01,1.139957875282670017e+02,2.260659271541049975e+01,7.483200000000000500e+02
8.700000000000000000e+01,1.139955853718890069e+02,2.260665036396400041e+01,7.617730496453900741e+02
8.800000000000000000e+01,1.139954540166770016e+02,2.260666920610700004e+01,7.683676470588235361e+02
8.900000000000000000e+01,1.139953262779870045e+02,2.260669736185879941e+01,7.649139344262295026e+02
9.000000000000000000e+01,1.139952167208940068e+02,2.260652874471540130e+01,7.797022613065327050e+02
9.100000000000000000e+01,1.139954398084669975e+02,2.260636794505269975e+01,7.860622222222222035e+02
9.200000000000000000e+01,1.139957593138500016e+02,2.260635654320629939e+01,8.033873015873016357e+02
9.300000000000000000e+01,1.139960683648530022e+02,2.260629505806279838e+01,7.993981042654028215e+02
9.400000000000000000e+01,1.139963575852339943e+02,2.260617961318950009e+01,8.125218750000000227e+02
9.500000000000000000e+01,1.139965965973329958e+02,2.260609416889429824e+01,8.135746606334841999e+02
9.600000000000000000e+01,1.139968454532399988e+02,2.260600347139680011e+01,8.216681034482758150e+02
9.700000000000000000e+01,1.139970904176310000e+02,2.260590844681830092e+01,8.110000000000000000e+02
9.800000000000000000e+01,1.139973432011749992e+02,2.260582048130919830e+01,8.370849673202613985e+02
9.900000000000000000e+01,1.139975401516570059e+02,2.260579415024750105e+01,8.274469273743017084e+02
1.000000000000000000e+02,1.139977362855949963e+02,2.260576006681699823e+01,8.315240963855421796e+02
1.010000000000000000e+02,1.139979350972990062e+02,2.260582864468209863e+01,8.373515151515151729e+02
1.020000000000000000e+02,1.139981416040480013e+02,2.260589483846580094e+01,8.490802919708029322e+02
1.030000000000000000e+02,1.139984767935499974e+02,2.260616688378539862e+01,8.575434343434343418e+02
1.040000000000000000e+02,1.139986405096360045e+02,2.260651464845420122e+01,8.724543010752688588e+02
1.050000000000000000e+02,1.139987266454869967e+02,2.260694085935289976e+01,8.781343283582089043e+02
1.060000000000000000e+02,1.139987733437830002e+02,2.260727477160930121e+01,8.834217687074830110e+02
1.070000000000000000e+02,1.139988203773090021e+02,2.260761969143980110e+01,8.890174672489082468e+02
1.080000000000000000e+02,1.139988435760839991e+02,2.260784557645740023e+01,8.941031390134529602e+02
1.090000000000000000e+02,1.139988914830550044e+02,2.260816069611090029e+01,9.030764331210191358e+02
1.100000000000000000e+02,1.139986528481900052e+02,2.260855499941359881e+01,9.114119496855346370e+02
1.110000000000000000e+02,1.139984999553129938e+02,2.260891116850759985e+01,9.135119999999999436e+02
1.120000000000000000e+02,1.139983506288379971e+02,2.260929608939009938e+01,9.191097922848664439e+02
1.130000000000000000e+02,1.139982428507789933e+02,2.260958831664349944e+01,9.403571428571428896e+02
1.140000000000000000e+02,1.139980770858419987e+02,2.260986029805249942e+01,9.352229885057471392e+02
1.150000000000000000e+02,1.139978754770030065e+02,2.261014649103200114e+01,9.426646153846153311e+02
1.160000000000000000e+02,1.139977015297910015e+02,2.261048759541419884e+01,9.663279742765273568e+02
1.170000000000000000e+02,1.139974637283289951e+02,2.261068064422699919e+01,9.956631274131274267e+02
